ADXL-X,ADXL-Y,ADXL-Z,VELO-X,VELO-Y,VELO-Z,DFT321
13.47,-15.61,-29.38,-0.15,-0.02,0.9,-35.89286001
5.82,5.51,-9.49,-0.15,-0.02,0.9,12.42145724
6.43,4.9,-3.67,-0.15,-0.02,0.9,8.87827686
-16.83,-138.04,155.18,-0.15,-0.02,0.9,208.3725579
-5.2,5.82,-15.92,-0.11,-0.01,0.9,-17.73016638
13.77,5.51,29.69,-0.11,-0.01,0.9,33.18838803
9.18,5.51,-9.18,-0.11,-0.01,0.9,14.10336485
11.94,-5.82,-0.31,-0.11,-0.01,0.9,13.2865383
12.55,1.84,-7.04,-0.11,-0.01,0.9,14.50688457
4.59,-5.51,-15.3,-0.11,0,0.88,-16.89728381
6.12,0.61,-4.9,-0.11,0,0.88,7.86361876
11.32,3.67,2.45,-0.08,0.01,0.86,12.14964197
13.77,7.35,-0.31,-0.08,0.01,0.86,15.61190251
11.94,-8.26,-3.37,-0.08,0.01,0.86,14.90463351
11.32,0.31,1.84,-0.08,0.01,0.86,11.47275468
7.65,-20.2,9.18,-0.08,0.01,0.86,-23.46987218
6.43,-0.92,10.71,-0.08,0.01,0.86,12.5257894
7.35,3.67,1.53,-0.08,0.01,0.86,8.356572264
8.57,-11.32,13.77,-0.08,0.01,0.86,19.77878156
12.24,-1.53,7.65,-0.08,0.01,0.86,14.51485446
6.12,0,-0.31,-0.06,0.01,0.84,6.127846277
13.16,-4.9,25.4,0,0,0.82,29.023363
7.04,-0.92,-3.37,0,0,0.82,7.85906483
7.65,2.75,-7.65,0,0,0.82,11.16277295
9.18,-6.73,-10.41,0,0,0.82,-15.42508995
9.18,-3.06,1.22,0,0,0.82,9.753173842
11.02,-5.51,11.32,0,0,0.82,16.73149425
8.57,12.86,-16.53,0,0,0.82,22.6288621
5.82,-19.28,6.43,0,0,0.82,-21.14085381
7.35,-19.89,18.36,0,0,0.82,28.04860424
11.32,14.08,10.1,0,0,0.82,20.69779698
11.32,-13.47,23.26,0,0,0.82,29.16523444
9.18,0.31,1.84,0.03,0,0.79,9.367715837
6.12,13.16,-26.32,0.03,0,0.79,-30.05632047
-3.06,2.14,-33.67,0.03,0,0.79,-33.87642396
12.24,-25.1,34.28,0.03,0,0.79,44.21477129
8.26,12.24,-13.77,0.03,0,0.79,20.19054482
9.18,-4.9,55.09,0.03,0,0.79,56.06416413
-2.14,10.41,-11.63,0.03,0,0.79,-15.75451047
7.35,-12.86,32.44,0.03,0,0.79,35.66168392
8.57,19.28,-8.26,0.03,0,0.79,22.65813099
7.96,-5.2,-4.29,0.03,0,0.79,-10.43099708
7.04,-6.73,-6.12,0.03,0,0.79,-11.50256058
5.2,6.12,-18.67,0.03,0,0.79,-20.32395877
11.63,-2.45,-9.18,0.05,0.01,0.76,15.0177162
10.71,1.53,-2.45,0.05,0.01,0.76,11.09267777
8.26,-6.73,0.61,0.05,0.01,0.76,10.6720476
4.59,9.49,-7.96,0.05,0.01,0.76,13.20945873
8.88,-21.12,33.36,0.06,0.02,0.74,40.46972202
4.29,10.71,-14.69,0.06,0.02,0.74,18.67898016
9.79,-3.06,-3.37,0.06,0.02,0.74,10.79650869
10.1,-4.59,-10.1,0.06,0.02,0.74,-15.00293638
11.32,-8.26,-3.67,0.06,0.02,0.74,-14.4858172
10.1,-5.2,5.2,0.06,0.02,0.74,12.49359836
2.45,4.29,-22.34,0.06,0.02,0.74,-22.87973339
-4.59,-0.92,3.37,0.06,0.02,0.74,-5.768136614
8.26,-5.82,3.98,0.08,0.01,0.72,10.86003683
8.57,-13.47,22.04,0.08,0.01,0.72,27.21483786
1.84,-7.35,2.75,0.08,0.01,0.72,-8.060434231
3.06,-3.98,23.57,0.08,0.01,0.72,24.09873233
9.49,4.9,-5.2,0.1,0,0.7,11.87897723
19.89,-1.22,-7.96,0.1,0,0.7,21.45838065
15.92,-23.57,0.61,0.1,0,0.7,-28.44931282
6.43,-2.14,-7.96,0.1,0,0.7,-10.45399923
4.59,-0.31,6.73,0.1,0,0.7,8.152122423
4.9,1.22,-3.37,0.1,0,0.7,6.070856612
6.73,-13.77,35.5,0.1,0,0.7,38.66724454
11.32,7.96,1.53,0.1,0,0.7,13.9228194
18.06,-10.41,-3.67,0.12,0,0.67,21.16602466
9.18,-6.73,4.9,0.12,0,0.67,12.39255018
-2.14,-48.67,81.11,0.12,0,0.67,94.61596377
9.49,-0.92,31.53,0.12,0,0.67,32.94005768
3.98,2.75,-26.32,0.12,0,0.67,-26.76089124
5.82,0,-17.14,0.12,0.01,0.63,-18.10116018
15,-7.04,2.75,0.12,0.01,0.63,16.79655024
14.69,4.29,98.25,0.12,0.02,0.61,99.43471577
-0.31,11.32,-16.83,0.12,0.02,0.61,-20.28515221
0,-27.24,51.42,0.12,0.02,0.61,58.18963825
5.2,0.61,-0.92,0.12,0.02,0.61,5.315872459
7.35,4.59,18.98,0.12,0.02,0.61,20.86458722
11.32,-16.53,-2.45,0.12,0.02,0.61,-20.18380044
-4.9,6.12,-22.96,0.12,0.02,0.61,-24.26161577
7.35,-10.71,-4.9,0.12,0.02,0.61,-13.88296078
15,-3.37,13.16,0.12,0.02,0.61,20.23715642
3.37,-20.2,47.75,0.13,0.01,0.58,51.95632204
5.51,5.82,-16.83,0.13,0.01,0.58,-18.64085298
16.53,11.94,-0.61,0.14,0,0.56,20.40040686
0.92,-7.96,83.25,0.14,0,0.56,83.63474457
7.04,1.22,0,0.14,0,0.56,7.144928271
14.08,18.06,19.28,0.14,0,0.56,29.93540379
10.1,-12.86,5.2,0.14,0,0.56,17.15895102
14.39,1.84,-7.04,0.14,0,0.56,16.12511395
2.75,6.43,-1.84,0.14,0,0.56,7.231389908
0.92,-17.14,55.4,0.14,0,0.56,57.99815514
4.29,7.65,-4.59,0.14,0,0.56,9.899227243
4.9,-3.67,0.61,0.15,0,0.53,6.152316637
10.41,-3.98,45.3,0.15,0,0.53,46.65081457
1.53,3.67,-5.51,0.15,0,0.53,-6.794843633
6.43,-20.51,54.17,0.15,0,0.53,58.27858869
8.57,-5.82,6.43,0.14,0,0.46,12.19271094
5.2,3.06,-17.75,0.14,0,0.46,-18.74742916
11.63,-5.51,36.12,0.14,0,0.46,38.34411819
6.43,-2.14,-13.16,0.14,0,0.46,-14.80236805
11.32,-3.67,-0.61,0.14,0,0.46,11.91567875
5.2,-2.14,-22.96,0.14,0,0.46,-23.63855326
4.59,-12.24,11.94,0.14,0,0.46,17.70449943
7.96,-5.51,-8.88,0.14,0,0.46,-13.13682229
