VELO-X,VELO-Y,VELO-Z,DFT321
0.13,0.01,0.58,-18.64085298
0.14,0,0.56,20.40040686
0.14,0,0.56,83.63474457
0.14,0,0.56,7.144928271
0.14,0,0.56,29.93540379
0.14,0,0.56,17.15895102
0.14,0,0.56,16.12511395
0.14,0,0.56,7.231389908
0.14,0,0.56,57.99815514
0.14,0,0.56,9.899227243
0.15,0,0.53,6.152316637
0.15,0,0.53,46.65081457
0.15,0,0.53,-6.794843633
0.15,0,0.53,58.27858869
0.14,0,0.46,12.19271094
0.14,0,0.46,-18.74742916
0.14,0,0.46,38.34411819
0.14,0,0.46,-14.80236805
0.14,0,0.46,11.91567875
0.14,0,0.46,-23.63855326
0.14,0,0.46,17.70449943
0.14,0,0.46,-13.13682229
0.14,0,0.46,-18.0992486
0.14,0,0.46,4.59266807
0.12,0,0.42,-15.7017292
0.12,0,0.42,31.47760633
0.12,0,0.42,-14.74798291
0.12,0,0.42,16.33128593
0.12,0,0.42,-13.09372751
0.12,0,0.42,24.65080526
0.12,0,0.42,10.09848503
0.12,0,0.42,-13.88516475
0.12,0,0.42,15.92585947
0.12,0,0.42,7.576285369
0.12,0,0.42,8.240788797
0.12,0,0.4,18.12368064
0.11,-0.01,0.38,6.757588327
0.11,-0.01,0.38,105.7716715
0.11,-0.01,0.38,18.3872483
0.11,-0.01,0.38,-19.35291968
0.11,-0.01,0.38,20.92204101
0.11,-0.01,0.38,-28.67731856
0.11,-0.01,0.38,-9.798030414
0.11,-0.01,0.38,-13.17412995
0.11,-0.01,0.38,42.32932908
0.11,-0.01,0.38,-10.25078534
0.1,-0.01,0.35,-10.88795206
0.08,-0.01,0.31,21.75420879
0.08,-0.01,0.31,-11.38823955
0.08,-0.01,0.31,-13.7923167
0.08,-0.01,0.31,-14.5458757
0.08,-0.01,0.31,24.91786106
0.08,-0.01,0.31,-6.719352647
0,0,0,7.893719022
0,0,0,19.04935957
0,0,0,7.355990756
0,0,0,38.3116327
0,0,0,7.987821981
0.08,-0.02,0.29,11.94258766
0.08,-0.02,0.29,28.39969366
0.07,-0.02,0.27,11.33072813
0.07,-0.02,0.27,-10.34261572
0.07,-0.02,0.27,-10.51066125
0.07,-0.02,0.27,12.95513412
0.07,-0.02,0.27,8.405605273
0.07,-0.02,0.27,8.663365397
0.07,-0.02,0.27,-10.61469265
0.07,-0.02,0.27,10.13837758
0.07,-0.02,0.27,-8.623392604
0.06,-0.02,0.24,27.33900144
0.05,-0.01,0.21,-9.784656356
0.05,-0.01,0.21,8.313398824
0.05,-0.01,0.21,14.59260772
0.05,-0.01,0.21,9.507107867
0.05,-0.01,0.21,11.49321974
0.05,-0.01,0.21,9.453301011
0.05,-0.01,0.21,13.9228194
0.05,-0.01,0.21,9.494319354
0.05,-0.01,0.21,9.25175659
0.05,-0.01,0.21,10.36551977
0.05,-0.01,0.21,14.67036469
0.05,-0.01,0.21,9.820213847
0.05,-0.01,0.21,9.091375034
0.03,-0.01,0.15,12.35545628
0.03,-0.01,0.15,10.74648315
