VELO-X,VELO-Y,VELO-Z,DFT321
0.73,-0.01,0.36,4.916441932501473
0.71,0.00,0.35,-3.1132254583833845
0.70,0.00,0.33,28.051158127882076
0.69,-0.01,0.30,11.028989389641229
0.67,-0.01,0.29,8.293604642774085
0.65,0.00,0.26,10.107733428009238
0.64,0.00,0.24,5.606071131602682
0.61,-0.02,0.18,-6.480492132076373
0.58,-0.01,0.16,16.802400127435007
0.55,0.00,0.15,9.68707896290216
0.54,0.00,0.14,25.575972043777742
0.51,-0.02,0.10,26.682590652330465
0.49,-0.03,0.08,19.85379431340828
0.47,-0.03,0.07,18.008631813734038
0.45,-0.02,0.07,2.6514441931042696
0.43,0.00,0.07,9.694387989803754
0.40,0.00,0.07,7.53884628530341
0.34,-0.01,0.04,-2.905638884690849
0.29,-0.01,0.03,3.52925238247805
0.26,0.00,0.03,11.435659102937416
0.21,0.00,0.03,11.583276751258284
-0.04,-0.01,-0.03,10.635514329129434
-0.07,-0.01,-0.05,10.69828798100303
-0.13,0.00,-0.08,9.271054980484784
-0.15,0.00,-0.09,7.883550072454286
-0.19,-0.01,-0.11,1.70053088274938
-0.21,-0.01,-0.13,9.83846752283847
-0.24,-0.02,-0.15,11.762767476294579
-0.27,-0.02,-0.17,29.813915021482856
-0.29,-0.02,-0.18,4.280977368843322
-0.33,-0.01,-0.20,19.63968723430087
-0.36,-0.01,-0.23,7.00661536547996
-0.39,-0.01,-0.25,5.442940651621008
-0.44,-0.01,-0.32,1.011868464714536
-0.46,-0.01,-0.36,6.3263305206380105
-0.48,-0.02,-0.38,8.678566697893272
-0.50,-0.02,-0.41,27.31913798054397
-0.52,-0.01,-0.44,20.0360207778074
-0.55,-0.01,-0.46,31.026939140751104
-0.57,0.01,-0.47,9.865894034928521
-0.58,0.00,-0.50,3.725056933612117
-0.59,-0.02,-0.56,20.730208460168843
-0.59,-0.02,-0.59,39.583390491866005
-0.62,0.01,-0.65,-33.38327716201543
-0.63,0.02,-0.67,6.234266761797817
-0.61,0.00,-0.70,36.319921246779735
-0.61,-0.01,-0.72,-7.674782344053188
-0.61,0.00,-0.78,-23.095625680930397
-0.59,0.00,-0.81,18.672171531353403
-0.60,0.02,-0.78,-7.776990326813596
-0.59,0.01,-0.84,12.794056190327948
-0.56,-0.01,-0.88,27.002254291057998
-0.54,0.00,-0.90,26.84713588752511
-0.53,0.03,-0.89,21.241064203398768
-0.49,0.03,-0.94,14.884663247786293
-0.48,0.02,-0.95,-10.54035469383597
-0.44,0.02,-0.95,20.569727630647165
-0.42,0.04,-0.94,-0.18684822781677912
-0.39,0.01,-0.98,13.241633303191408
-0.37,0.01,-0.99,19.70512877400196
-0.34,0.03,-0.97,17.261953514650468
-0.24,0.02,-0.98,15.173053778666914
-0.21,0.01,-0.97,20.199091563731276
-0.18,0.00,-0.96,7.524344558218253
-0.17,0.01,-0.95,-6.925235174339171
-0.14,0.02,-0.94,32.98629172227698
-0.12,0.01,-0.93,0.5507519313327442
-0.08,0.01,-0.91,-14.372276112502593
-0.07,0.02,-0.90,-5.408063861442053
-0.05,0.02,-0.88,-23.057357755410028
-0.03,0.03,-0.86,7.883614448536447
0.02,0.01,-0.83,39.83337417787892
0.07,-0.03,-0.81,15.457556548441751
0.09,-0.02,-0.79,0.39611313369439793
0.10,-0.02,-0.76,43.83771382081684
0.09,0.02,-0.75,7.345628583108561
0.08,0.03,-0.74,2.557800123083762
0.11,0.02,-0.71,21.28126882956961
0.16,-0.01,-0.69,4.771772848697808
0.17,-0.02,-0.67,18.48388763377241
0.17,0.00,-0.65,9.909020561317652
0.15,0.03,-0.62,7.046916775413949
0.17,0.02,-0.58,1.6539108634566475
0.19,0.00,-0.56,12.680321877315418
0.19,0.00,-0.53,15.706889581992574
0.18,0.01,-0.51,18.609948990601843
0.16,0.03,-0.46,12.920307384185294
0.16,0.01,-0.40,6.66212016715739
0.15,0.01,-0.35,10.76371566864336
0.10,0.01,-0.25,11.93456229844362
0.09,0.01,-0.22,9.901815432132105
0.08,0.01,-0.19,10.316881853262416
0.07,0.01,-0.17,11.432325289750445
0.05,0.01,-0.14,10.535725728023944
0.03,0.01,-0.10,10.737482484578246
0.01,0.01,-0.05,11.390919523801225
-0.02,0.01,0.03,11.10295584500127
-0.04,0.00,0.11,14.623601702593357
-0.06,0.00,0.16,12.43814860829964
-0.07,-0.01,0.21,12.859517848357491
-0.09,-0.01,0.26,19.295879073849953
-0.10,-0.01,0.31,24.755636100737952
-0.12,-0.01,0.36,18.883735995047342
-0.13,-0.02,0.40,12.503628228570335
-0.14,-0.01,0.44,2.183213800682598
-0.16,-0.01,0.50,20.584034121518396
-0.17,-0.02,0.55,4.5197933304580475
